COLLECTION_NAME,YEAR_MONTH,SALE_COUNT,PRICE_USD,PRICE_RANGE
"Enchiridion by Generative Artworks",2021-8,454,1440.179211468736,13383.916159511007
"Enchiridion by Generative Artworks",2021-9,19,1814.9561206057012,3386.9034345547097
"Endless Nameless by Rafaël Rozendaal",2021-7,1943,1652.5154357182937,19272.83099969906
"Endless Nameless by Rafaël Rozendaal",2021-8,571,5831.156619964414,59299.41903266791
"Endless Nameless by Rafaël Rozendaal",2021-9,10,11646.401986886814,8533.012061987967
"EnergySculpture by Beervangeer",2021-2,1,502.760858447189,0
"EnergySculpture by Beervangeer",2021-3,476,642.7246089488152,4380.862137724067
"EnergySculpture by Beervangeer",2021-4,26,271.59198695616993,193.2065426089144
"EnergySculpture by Beervangeer",2021-5,5,308.88748176998195,243.34024933501195
"EnergySculpture by Beervangeer",2021-6,22,275.47315218839054,372.78124557208844
"EnergySculpture by Beervangeer",2021-7,99,834.5037271582396,1850.7356205350181
"EnergySculpture by Beervangeer",2021-8,156,4942.25881775654,12100.231085892427
"EnergySculpture by Beervangeer",2021-9,5,7370.864917630012,3620.862286890061
"Ensō by Matto",2021-3,86,188.46394491592193,27.669381215368645
"Ensō by Matto",2021-4,43,281.16397460620277,1683.8540869265605
"Ensō by Matto",2021-5,15,294.8218804541769,48.05050959808881
"Ensō by Matto",2021-6,32,227.67358020002217,503.37741211540197
"Ensō by Matto",2021-7,1194,270.97982398686827,1787.109400170794
"Ensō by Matto",2021-8,597,1178.5390912733458,5512.632814396338
"Ensō by Matto",2021-9,8,1858.4960143379767,1003.3160673194864
"Event Horizon Sunset (Series C) by Jake Brukhman",2021-4,2,191.62965237674265,0
"Event Horizon Sunset (Series C) by Jake Brukhman",2021-5,16,117.02243283901602,261.80446865611833
"Event Horizon Sunset (Series C) by Jake Brukhman",2021-6,168,81.21346104826546,80.94634121450733
"Event Horizon Sunset (Series C) by Jake Brukhman",2021-7,370,149.367407398009,520.7725381201342
"Event Horizon Sunset (Series C) by Jake Brukhman",2021-8,169,1422.454911668604,4526.452673410061
"Event Horizon Sunset (Series C) by Jake Brukhman",2021-9,9,2112.3542583066087,799.0116467308947
"Fake Internet Money by Steve Pikelny",2021-8,20,10866.081790407028,25607.451690020225
"Fake Internet Money by Steve Pikelny",2021-9,99,8966.236460268083,33408.26859627405
"Fidenza by Tyler Hobbs",2021-6,1684,2275.126595219279,46570.04513955793
"Fidenza by Tyler Hobbs",2021-7,176,59385.58757510953,367657.88608915
"Fidenza by Tyler Hobbs",2021-8,182,388634.2975158869,3283408.085570463
"Fidenza by Tyler Hobbs",2021-9,8,1006246.8201304929,1165189.7900988448
"Flowers by RVig",2021-7,1,263.56352522670187,0
"Flowers by RVig",2021-8,911,624.6614918612275,25789.91674212381
"Flowers by RVig",2021-9,9,2247.638546765437,3747.913037533281
"Frammenti by Stefano Contiero",2021-5,590,305.31848921098924,2888.0864267398356
"Frammenti by Stefano Contiero",2021-6,182,847.6996993589161,5057.487920008777
"Frammenti by Stefano Contiero",2021-7,231,6893.146023904936,57242.45352971368
"Frammenti by Stefano Contiero",2021-8,177,30506.436117385478,225499.8870765227
"Frammenti by Stefano Contiero",2021-9,7,42821.90799264453,13892.768131013734
"Galaxiss by Xenoliss",2021-3,235,271.05715244110854,2315.6645609981597
"Galaxiss by Xenoliss",2021-4,67,451.55405446429734,6327.719852377906
"Galaxiss by Xenoliss",2021-5,19,515.8117665000492,1212.697416269001
"Galaxiss by Xenoliss",2021-6,145,318.3343687761441,935.0532111504097
"Galaxiss by Xenoliss",2021-7,238,383.67397150248723,3611.603351478449
"Galaxiss by Xenoliss",2021-8,243,2991.4728626659726,10391.845441741036
"Galaxiss by Xenoliss",2021-9,3,4319.6844084223885,531.6199849384138
"Gazettes by Redlioneye Gazette",2021-3,189,272.36088292482003,24.44930540832661
"Gazettes by Redlioneye Gazette",2021-4,30,306.97514875232145,190.91616627697073
"Gazettes by Redlioneye Gazette",2021-5,2,366.16754265044443,19.34584276404712
"Gazettes by Redlioneye Gazette",2021-6,9,284.0545708251697,214.29180145964048
"Gazettes by Redlioneye Gazette",2021-7,584,360.0630272833803,2172.025974177012
"Gazettes by Redlioneye Gazette",2021-8,750,813.456059300917,12748.235461754046
"Gazettes by Redlioneye Gazette",2021-9,12,1735.7901532369115,2133.848907332681
"Gen 2 by DCA",2021-2,297,449.3896867856474,18857.404114566776
"Gen 2 by DCA",2021-3,24,987.8335360557666,2472.5528972511934
"Gen 2 by DCA",2021-4,14,1076.7433157580504,1648.0504148237305
"Gen 2 by DCA",2021-5,2,1017.9640248879826,1114.8174011080162
"Gen 2 by DCA",2021-6,33,1534.974498364965,7474.263983062113
"Gen 2 by DCA",2021-7,43,3359.5836156349164,31530.209050709655
"Gen 2 by DCA",2021-8,31,15570.129897849149,136651.8704135
"Gen 2 by DCA",2021-9,2,11580.060715911444,607.0275212359793
"Gen 3 by DCA",2021-4,135,152.8531971407727,61.94817671075366
"Gen 3 by DCA",2021-5,29,161.59878008795278,149.29924525561717
"Gen 3 by DCA",2021-6,227,141.2687271053631,1692.9288968655458
"Gen 3 by DCA",2021-7,1013,167.0801997134517,14482.829097065884
"Gen 3 by DCA",2021-8,400,1513.236412970723,5915.997167092852
"Gen 3 by DCA",2021-9,20,1943.9054620479249,2899.6537156606223
"Geometry Runners by Rich Lord",2021-8,4880,26741.26408005976,224758.31338156428
"Geometry Runners by Rich Lord",2021-9,197,28801.634233621782,41381.58934743612
"Gizmobots by Mark Cotton",2021-7,1,197.1076162419552,0
"Gizmobotz by Mark Cotton",2021-7,1580,177.3795580860902,841.9049324186701
"Gizmobotz by Mark Cotton",2021-8,681,1540.4864183060872,5645.135758556924
"Gizmobotz by Mark Cotton",2021-9,14,2158.609430383289,4263.277865742686
"Good Vibrations by Aluan Wang",2021-8,4650,1479.8211876730566,16190.548321892915
"Good Vibrations by Aluan Wang",2021-9,73,2634.5916638930435,14257.453143606628
"Gravity 12 by Jimmy Herdberg",2021-6,1,230.03281687382335,0
"Gravity 12 by Jimmy Herdberg",2021-7,874,674.1773542015343,7474.0371325084625
"Gravity 12 by Jimmy Herdberg",2021-8,291,3339.1667409729353,16512.520132573318
"Gravity 12 by Jimmy Herdberg",2021-9,12,3373.3546758111,10013.485002683361
"Gravity Grid by Eliya Stein",2021-4,85,234.9568554418195,463.0570028772342
"Gravity Grid by Eliya Stein",2021-5,1,221.91747275345088,0
"Gravity Grid by Eliya Stein",2021-6,8,467.48810410015847,627.7337285959878
"Gravity Grid by Eliya Stein",2021-7,18,1405.4097756208541,2644.2510588324485
"Gravity Grid by Eliya Stein",2021-8,30,9722.100242462873,27111.939511791315
"Gravity Grid by Eliya Stein",2021-9,2,22170.23108425264,0
"Hashtractors by Darien Brito",2021-6,176,661.7529823184733,5257.633371629608
"Hashtractors by Darien Brito",2021-7,46,1112.1555849670763,1718.3403298169947
"Hashtractors by Darien Brito",2021-8,81,10461.579794342291,31078.454373703426
"Hashtractors by Darien Brito",2021-9,8,17831.571689578952,11327.711530252818
"Hieroglyphs by pxlq",2021-3,595,185.62419052235757,1649.5982660928569
"Hieroglyphs by pxlq",2021-4,183,251.83085418438262,6304.74109598741
"Hieroglyphs by pxlq",2021-5,23,276.0316485706678,469.9935462875266
"Hieroglyphs by pxlq",2021-6,352,184.92670039584462,881.1899228594167
"Hieroglyphs by pxlq",2021-7,183,501.6733273484032,4343.327637391925
"Hieroglyphs by pxlq",2021-8,371,2361.032441246643,17568.670569965183
"Hieroglyphs by pxlq",2021-9,19,3481.4642618967605,3072.27353829587
"High Tide by Artem Verkhovskiy x Andy Shaw",2021-8,1,824.2329865753942,0
"HyperHash by Beervangeer",2021-1,404,158.3586918880916,1639.162118679082
"HyperHash by Beervangeer",2021-2,143,1078.0924358655782,8400.721390231649
"HyperHash by Beervangeer",2021-3,56,1413.3185066903256,15396.875227734647
"HyperHash by Beervangeer",2021-4,3,942.4021329026864,540.148128774889
"HyperHash by Beervangeer",2021-5,9,1306.1990492684731,3088.0456040274003
"HyperHash by Beervangeer",2021-6,46,1054.5897609683325,2293.3575786034503
"HyperHash by Beervangeer",2021-7,117,5347.828461421889,29775.295368400446
"HyperHash by Beervangeer",2021-8,158,35700.631833183215,85659.5251309486
"HyperHash by Beervangeer",2021-9,6,66055.04774432119,65028.25226696266
"I Saw It in a Dream by Steve Pikelny",2021-7,1474,272.3465319180559,1641.0077384843757
"I Saw It in a Dream by Steve Pikelny",2021-8,561,1457.0757987007078,16230.315522935178
"I Saw It in a Dream by Steve Pikelny",2021-9,18,1533.2659184551865,864.5158563316081
"Ignition by ge1doot",2021-1,601,329.42575603297615,8335.67317386359
"Ignition by ge1doot",2021-2,125,1410.4149501207112,10803.831943281564
"Ignition by ge1doot",2021-3,19,1548.7348996384198,3003.5012944662976
"Ignition by ge1doot",2021-4,16,1806.9297668590727,6638.83610869427
"Ignition by ge1doot",2021-5,14,1305.0766828711228,2207.0282981982455
"Ignition by ge1doot",2021-6,19,1411.3208782504435,4144.413158294156
"Ignition by ge1doot",2021-7,109,3904.2972443057647,18169.619908004
"Ignition by ge1doot",2021-8,92,20953.074810398797,74888.00960069934
"Incantation by Eliya Stein",2021-6,90,211.59832016839354,165.81634534514757
"Incantation by Eliya Stein",2021-7,21,931.5832369610781,2963.97544494363
