COLLECTION_NAME,ARTIST,ASPECT_RATIO,CURATION_STATUS,IS_DYNAMIC,SCRIPT_TYPE,SERIES,USE_HASH,COUNT_TOKEN,DAYS_SINCE_MINT,FEATURE_NUMBER,TRAITS_NUMBER,MINT_CURRENCY,MINT_DURATION,AUGUST_SALE_COUNT,AUGUST_SALE_PRICE
"Hieroglyphs by pxlq","pxlq","1","playground",true,"p5js","N/A",true,1005,135,7,16,ETH,99,371,2361.032441246643
"High Tide by Artem Verkhovskiy x Andy Shaw","Artem Verkhovskiy x Andy Shaw","1","factory",true,"p5js","N/A",true,1,2,1,2,ETH,1,1,824.2329865753942
"Dynamic Slices by pxlq","pxlq","1","curated",true,"p5js","1",true,512,263,4,6,ETH,1,133,18698.618141196614
"Eccentrics by Radix","Radix","1.0","playground",true,"p5js","N/A",true,400,63,13,28,ETH,2,97,13097.855328072403
"Ecumenopolis by Joshua Bagley","Joshua Bagley","1","playground",true,"p5js","N/A",true,1310,35,16,33,ETH,1,817,32803.98579769274
"Elementals by Michael Connolly","Michael Connolly","1","curated",true,"p5js","3",true,600,138,9,20,ETH,13,158,15243.644361098744
"Elevated Deconstructions by luxpris","luxpris","1","curated",true,"p5js","1",true,200,254,1,2,ETH,2,28,201962.3479452468
"Empyrean by Generative Artworks","Generative Artworks","1/1","factory",true,"p5js","N/A",true,500,153,22,32,ETH,35,85,3032.042117380362
"Enchiridion by Generative Artworks","Generative Artworks","1/1","factory",true,"p5js","N/A",true,1024,58,7,16,ETH,7,454,1440.179211468736
"Endless Nameless by Rafaël Rozendaal","Rafaël Rozendaal","1","curated",true,"js","4",true,1003,33,2,6,ETH,3,571,5831.156619964413
"EnergySculpture by Beervangeer","Beervangeer","100/100","playground",true,"p5js","N/A",true,369,184,4,8,ETH,2,156,4942.25881775654
"Ensō by Matto","Matto","1","factory",true,"p5js","N/A",true,1222,53,11,24,ETH,128,597,1178.5390912733455
"Event Horizon Sunset (Series C) by Jake Brukhman","Jake Brukhman","1","factory",true,"p5js","N/A",true,507,77,2,6,ETH,67,169,1422.454911668604
"Fake Internet Money by Steve Pikelny","Steve Pikelny","1.75","factory",true,"p5js","N/A",true,192,1,16,34,ETH,5,20,10866.081790407028
"Fidenza by Tyler Hobbs","Tyler Hobbs","0.833333","curated",true,"p5js","3",true,998,82,11,24,ETH,9,182,388634.2975158869
"Fidenza by Tyler Hobbs","Tyler Hobbs","0.833333","factory",true,"p5js","N/A",true,1,90,11,24,ETH,9,182,388634.2975158869
"Flowers by RVig","RVig","1","factory",true,"p5js","N/A",true,482,30,13,28,ETH,7,911,624.6614918612275
"Frammenti by Stefano Contiero","Stefano Contiero","1","curated",true,"p5js","3",true,555,102,19,40,ETH,6,177,30506.43611738548
"Galaxiss by Xenoliss","Xenoliss","1","factory",true,"threejs","N/A",true,617,108,5,12,ETH,107,243,2991.4728626659726
"Gazettes by Redlioneye Gazette","Redlioneye Gazette","1","factory",true,"p5js","N/A",true,1084,59,6,14,ETH,126,750,813.456059300917
"Gen 2 by DCA","DCA","1/1","playground",true,"p5js","N/A",true,256,198,4,8,ETH,1,31,15570.129897849147
"Gen 3 by DCA","DCA","1/1","playground",true,"p5js","N/A",true,224,121,24,50,ETH,96,400,1513.236412970723
"HyperHash by Beervangeer","Beervangeer",,"curated",true,"p5js","2",true,369,223,6,6,ETH,2,158,35700.63183318321
"I Saw It in a Dream by Steve Pikelny","Steve Pikelny","1","factory",true,"p5js","N/A",true,1028,56,18,26,ETH,3,561,1457.0757987007078
"Ignition by ge1doot","ge1doot","1","curated",true,"js","2",true,512,236,10,8,ETH,3,92,20953.074810398797
"Incantation by Eliya Stein","Eliya Stein","1","factory",true,"p5js","N/A",true,87,74,6,14,ETH,26,47,8964.446597608998
"Inspirals by Radix","Radix","1","curated",true,"p5js","2",true,1000,165,8,18,ETH,2,497,7774.661986296107
"Labyrometry by Eliya Stein","Eliya Stein","1","factory",true,"p5js","N/A",true,1251,23,7,16,ETH,9,2628,492.73475714008947
"Lava Glow by JEANVASCRIPT","JEANVASCRIPT","1","factory",true,"threejs","N/A",true,500,21,4,10,ETH,15,979,1576.379121899295
"LeWitt Generator Generator by Mitchell F. Chan","Mitchell F. Chan","1","factory",true,"p5js","N/A",true,2248,28,5,12,ETH,11,5319,4678.882254272992
"Libertad Parametrizada by zJorge","zJorge","1","factory",true,"p5js","N/A",true,265,72,14,30,ETH,14,69,10634.957040966525
"Light Beams by Jason Ting","Jason Ting","1","factory",true,"regl","N/A",true,150,163,3,8,ETH,4,46,29470.371830891647
"Wave Schematics by luxpris","luxpris","1/1","playground",true,"p5js","N/A",true,798,11,11,18,ETH,10,1517,7960.338569149886
"Wave Schematics by luxpris","luxpris","1/1","factory",true,"p5js","N/A",true,1,20,11,18,ETH,10,1517,7960.338569149886
"[Dis]entanglement by onlygenerated","onlygenerated","1","factory",true,"p5js","N/A",true,729,52,16,33,ETH,1,329,1245.8713545211033
"autoRAD by sgt_slaughtermelon & Tartaria Archivist","sgt_slaughtermelon & Tartaria Archivist","1/1","factory",true,"p5js","N/A",true,1181,2,4,10,ETH,12,2797,2921.7732040326523
"celestial cyclones by hideo","hideo","1","factory",true,"threejs","N/A",true,628,42,14,30,ETH,8,234,6959.66928283286
"dino pals by hideo","hideo","1","factory",true,"zdog","N/A",true,100,95,6,14,ETH,5,60,104739.48571359323
"glitch crystal monsters by Alida Sun","Alida Sun","1","curated",true,"p5js","4",true,1000,40,4,10,ETH,4,715,6659.62684446191
"phase by Loren Bednar","Loren Bednar","1.0","curated",true,"js","4",true,1813,12,7,16,ETH,5,4065,11586.957655160093
"planets by donnoh","donnoh","1","factory",true,"p5js","N/A",true,523,76,8,16,ETH,7,299,1314.1831083690695
"sail-o-bots by sturec x memorycollector","sturec x memorycollector","1","factory",true,"p5js","N/A",true,752,65,4,10,ETH,7,575,16153.881986622253
"♫ ByteBeats by DADABOTS x KAI","DADABOTS x KAI","1","factory",true,"js","N/A",true,553,74,5,12,ETH,116,115,2989.2639392111146
"(Dis)entanglement by onlygenerated","onlygenerated","1","factory",true,"p5js","N/A",true,1,68,1,2,ETH,1,,
"27-Bit Digital by kai","kai","1","curated",true,"js","2",true,1024,194,4,10,ETH,3,419,4849.778777050402
"70s Pop Ghost Bonus Pack 👻 by Daniel Catt","Daniel Catt","1","factory",true,"js","N/A",true,91,50,7,16,ETH,5,26,16823.425924056788
"70s Pop Series One by Daniel Catt","Daniel Catt","1","factory",true,"js","N/A",true,256,147,14,30,ETH,4,59,4644.408899539685
"70s Pop Series Two by Daniel Catt","Daniel Catt","1","factory",true,"p5js","N/A",true,256,80,12,26,ETH,6,57,4225.857287072192
"70s Pop Super Fun Summertime Bonus Pack 🍸 by Daniel Catt","Daniel Catt","1","factory",true,"js","N/A",true,64,115,6,14,ETH,8,7,11416.146434949938
"720 Minutes by Alexis André","Alexis André","1","curated",true,"js","2",true,720,180,17,34,ETH,1,211,21445.092725542272
"Abstraction by Hevey","Hevey","1","factory",true,"p5js","N/A",true,266,69,15,24,ETH,42,173,3009.8544533799145
"Aerial View by daLenz","daLenz","1","curated",true,"js","2",true,1000,157,5,8,ETH,5,567,7095.721520693808
"AlgoRhythms by Han x Nicolas Daniel","Han x Nicolas Daniel","1","curated",true,"tonejs","3",true,1000,110,13,28,ETH,2,309,19570.923866735655
"Low Tide by Artem Verkhovskiy x Andy Shaw","Artem Verkhovskiy x Andy Shaw","1","factory",true,"p5js","N/A",true,373,54,18,38,ETH,8,165,1782.9426058295815
"Messengers by Alexis André","Alexis André","1","playground",true,"js","N/A",true,350,93,14,16,ETH,6,95,8571.097188708274
"Neighborhood by Jeff Davis","Jeff Davis","1","playground",true,"p5js","N/A",true,607,0,6,14,ETH,10,20,804.0520080259391
"Neighborhood by Jeff Davis","Jeff Davis","1","factory",true,"p5js","N/A",true,20,6,6,14,ETH,10,20,804.0520080259391
"NimBuds by Bryan Brinkman","Bryan Brinkman","1","curated",true,"js","2",true,400,228,9,8,ETH,1,70,21635.697053827833
"Nucleus by Hjalmar Åström","Hjalmar Åström","1","factory",true,"p5js","N/A",true,1727,18,6,14,ETH,16,3607,1729.095933340448
"Obicera by Alexis André","Alexis André","1","playground",true,"js","N/A",true,2114,25,11,24,ETH,3,4466,7067.478356992365
"Octo Garden by Rich Lord","Rich Lord","1","factory",true,"p5js","N/A",true,333,49,4,10,ETH,16,219,12728.465925649296
"Ode to Roy by artplusbrad","artplusbrad","1","factory",true,"p5js","N/A",true,913,75,7,16,ETH,55,455,3731.782007909643
"Organized Disruption by Joshua Davis / PrayStation","Joshua Davis / PrayStation","1","factory",true,"p5js","N/A",true,1000,21,9,20,ETH,6,1685,1394.5539466607981
"Origami Dream by k0ch","k0ch","1/1","factory",true,"p5js","N/A",true,232,117,7,16,ETH,82,67,3173.9540247506434
"Orthogone by Pandelune","Pandelune","4","factory",true,"p5js","N/A",true,867,36,6,12,ETH,49,856,624.9062867633363
"P:X by mightymoose","mightymoose","1","factory",true,"p5js","N/A",true,405,41,8,18,ETH,96,226,1509.555559236099
"Panelscape 🅰🅱 by Paolo Tonon","Paolo Tonon","1.1","factory",true,"p5js","N/A",true,708,45,4,2,ETH,47,450,1776.336078863862
"Paper Armada by Kjetil Golid","Kjetil Golid","1","playground",true,"js","N/A",true,3050,95,9,20,ETH,88,1198,3207.2535534355193
"Patchwork Saguaros by Jake Rockland","Jake Rockland","1","factory",true,"p5js","N/A",true,72,109,5,12,ETH,3,14,30495.62409111711
"Pathfinders by luxpris","luxpris","1/1","playground",true,"p5js","N/A",true,1000,183,4,10,ETH,3,410,3539.7291156460537
"Patterns of Life by Vamoss","Vamoss","1","factory",true,"p5js","N/A",true,792,46,1,4,ETH,38,351,1195.7610231556116
"Petri by Fabin Rasheed","Fabin Rasheed","1","factory",true,"p5js","N/A",true,204,43,1,2,ETH,74,115,4140.292863136318
"Pigments by Darien Brito","Darien Brito","0.833333","curated",true,"threejs","4",true,1025,26,6,14,ETH,3,3012,9399.454547801635
"Pixel Glass by kai","kai","1","playground",true,"js","N/A",true,256,189,2,6,ETH,1,87,3091.8484812823967
